year,event,type,winner_team,loser_team,winner_score,loser_score
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Harvard (10),Oregon (2),15,13
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,North Carolina (7),Michigan (15),15,12
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Minnesota (4),Massachusetts (1),14,10
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Utah (20),Washington (13),15,9
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Connecticut (19),Case Western Reserve (18),16,14
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Massachusetts (1),Washington (8),14,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Stanford (12),Colorado State (13),15,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Washington (8),Colorado State (13),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Stanford (12),Cal Poly-SLO (17),12,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Massachusetts (1),Cal Poly-SLO (17),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Massachusetts (1),Stanford (12),14,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Massachusetts (1),Colorado State (13),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Washington (8),Stanford (12),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Pittsburgh (2),Connecticut (18),15,5
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Michigan (7),Texas A&M (14),15,7
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Pittsburgh (2),Michigan (7),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (11),Texas A&M (14),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (11),Connecticut (18),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Michigan (7),Connecticut (18),14,13
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Texas A&M (14),Connecticut (18),14,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Pittsburgh (2),Texas A&M (14),13,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Carleton College (6),Auburn (15),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Colorado (10),Oregon State (19),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina (3),Carleton College (6),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina (3),Oregon State (19),14,6
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Auburn (15),Oregon State (19),15,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Carleton College (6),Oregon State (19),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina (3),Auburn (15),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Carleton College (6),Colorado (10),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (5),British Columbia (16),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Wisconsin (9),Virginia Tech (20),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Minnesota (4),Virginia Tech (20),15,7
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Wisconsin (9),British Columbia (16),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Minnesota (4),Oregon (5),15,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Minnesota (4),Wisconsin (9),15,13
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,British Columbia (16),Virginia Tech (20),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (5),Virginia Tech (20),15,6
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Carleton College (6),North Carolina-Wilmington (11),15,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Carleton College (6),Minnesota (4),12,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Pittsburgh (2),Auburn (15),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Carleton College (6),Michigan (7),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Wisconsin (9),Cal Poly-SLO (17),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Washington (8),Oregon (5),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Stanford (12),Virginia Tech (20),15,13
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Connecticut (18),Colorado (10),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,British Columbia (16),Colorado State (13),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Cal Poly-SLO (17),Washington (8),16,14
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Cal Poly-SLO (17),Colorado State (13),15,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (11),Pittsburgh (2),15,13
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (11),Michigan (7),15,7
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Auburn (15),Colorado (10),14,13
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Colorado (10),North Carolina (3),13,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,British Columbia (16),Minnesota (4),15,9
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Wisconsin (9),Oregon (5),16,14
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Carleton College (6),Massachusetts (1),15,14
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,North Carolina-Wilmington (11),North Carolina (3),14,13
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Massachusetts (1),Pittsburgh (2),13,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,North Carolina (3),Wisconsin (9),15,14
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,North Carolina-Wilmington (11),Washington (8),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Texas A&M (14),Oregon State (19),15,12
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Carleton College (1),Massachusetts (8),15,6
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Massachusetts (8),Auburn (13),15,8
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Carleton College (1),Northwestern (17),15,8
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Carleton College (1),Stanford (12),12,10
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Massachusetts (8),Northwestern (17),15,12
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Carleton College (1),Auburn (13),15,6
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Massachusetts (8),Stanford (12),15,7
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,North Carolina (2),Connecticut (18),15,8
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Minnesota (7),William & Mary (14),15,8
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,North Carolina (2),Minnesota (7),15,4
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Texas (11),William & Mary (14),13,9
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Texas (11),Connecticut (18),15,11
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,North Carolina (2),Texas (11),15,8
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Minnesota (7),Connecticut (18),15,8
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Georgia (6),Maryland (15),14,13
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Wisconsin (10),Georgetown (19),12,8
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Oregon (3),Georgia (6),15,7
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Wisconsin (10),Maryland (15),11,10
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Oregon (3),Georgetown (19),15,6
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Oregon (3),Wisconsin (10),15,8
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Georgia (6),Georgetown (19),13,12
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Washington (5),Victoria (16),15,11
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Pittsburgh (9),Florida State (20),15,9
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Brown (4),Florida State (20),15,6
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Pittsburgh (9),Victoria (16),14,8
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Brown (4),Pittsburgh (9),14,12
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Washington (5),Florida State (20),14,11
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Brown (4),Victoria (16),15,8
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,bracket,Brown (4),Northwestern (17),15,11
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,bracket,Wisconsin (10),Minnesota (7),13,12
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,bracket,Auburn (13),Victoria (16),15,14
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,bracket,William & Mary (14),Georgetown (19),15,11
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,bracket,Florida State (20),Stanford (12),15,14
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Auburn (13),Stanford (12),14,7
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Northwestern (17),Stanford (12),15,10
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Northwestern (17),Auburn (13),12,10
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Connecticut (18),William & Mary (14),14,13
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Texas (11),Minnesota (7),13,10
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,William & Mary (14),North Carolina (2),13,11
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Georgetown (19),Maryland (15),13,11
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Maryland (15),Oregon (3),15,11
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Wisconsin (10),Georgia (6),15,10
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Washington (5),Brown (4),14,12
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Florida State (20),Victoria (16),15,12
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Pittsburgh (9),Washington (5),15,11
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,bracket,North Carolina (2),Pittsburgh (9),14,10
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,bracket,Pittsburgh (9),Carleton College (1),15,11
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,bracket,North Carolina (2),Oregon (3),14,13
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,bracket,Carleton College (1),Georgia (6),15,4
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,bracket,Pittsburgh (9),Wisconsin (10),15,8
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,bracket,Oregon (3),Brown (4),15,13
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,bracket,North Carolina (2),Washington (5),15,11
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,bracket,Georgia (6),Texas (11),14,9
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,bracket,Washington (5),Massachusetts (8),15,12
2018,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,bracket,Connecticut (18),Maryland (15),14,11
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,North Carolina (1),Ohio State (8),15,8
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Georgia (12),Minnesota (13),13,9
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Georgia (12),California (17),10,8
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,North Carolina (1),California (17),15,4
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,North Carolina (1),Georgia (12),15,6
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Ohio State (8),California (17),14,8
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,North Carolina (1),Minnesota (13),15,9
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Ohio State (8),Georgia (12),14,8
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Minnesota (13),California (17),12,8
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Brown (2),Iowa State (18),15,11
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Brown (2),North Carolina State (7),15,8
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Texas (11),Michigan (14),15,7
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Texas (11),Iowa State (18),15,7
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Brown (2),Texas (11),11,7
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,North Carolina State (7),Iowa State (18),15,13
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Michigan (14),Iowa State (18),15,14
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Brown (2),Michigan (14),15,7
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Oregon (6),Tufts (15),15,8
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Wisconsin (10),Victoria (19),15,6
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Pittsburgh (3),Oregon (6),14,12
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Wisconsin (10),Tufts (15),9,8
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Pittsburgh (3),Wisconsin (10),15,13
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Oregon (6),Victoria (19),15,10
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Pittsburgh (3),Tufts (15),12,5
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Oregon (6),Wisconsin (10),12,9
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Colorado (5),Northeastern (16),15,11
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Washington (9),Rutgers (20),15,10
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Cal Poly-SLO (4),Rutgers (20),15,4
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Washington (9),Northeastern (16),14,11
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Cal Poly-SLO (4),Colorado (5),13,10
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Cal Poly-SLO (4),Washington (9),15,10
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Northeastern (16),Rutgers (20),15,7
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Colorado (5),Rutgers (20),14,8
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Colorado (5),Washington (9),14,13
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,North Carolina (1),Cal Poly-SLO (4),15,10
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Colorado (5),Pittsburgh (3),15,13
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Colorado (5),Georgia (12),12,10
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Ohio State (8),Washington (9),14,9
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Minnesota (13),Rutgers (20),15,5
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Iowa State (18),Victoria (19),12,8
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Northeastern (16),California (17),10,9
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Tufts (15),North Carolina State (7),15,11
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Minnesota (13),Ohio State (8),10,8
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Michigan (14),North Carolina State (7),15,14
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Texas (11),North Carolina State (7),14,13
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Victoria (19),Pittsburgh (3),14,9
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Victoria (19),Tufts (15),13,10
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Northeastern (16),Cal Poly-SLO (4),14,8
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Brown (2),North Carolina (1),14,8
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Brown (2),Colorado (5),15,10
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,North Carolina (1),Wisconsin (10),15,8
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Cal Poly-SLO (4),Michigan (14),15,10
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Brown (2),Ohio State (8),15,10
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Wisconsin (10),Texas (11),13,11
2019,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Michigan (14),Oregon (6),13,12
